feature,importance
sigla_uf_CE,0.047302797
sigla_uf_BA,0.03956665
nome_regiao_Nordeste,0.012881181
sigla_uf_PR,0.012709863
sigla_uf_PE,0.007311239
sigla_uf_RS,0.006546754
nome_regiao_Norte,0.0062744236
nome_municipio_Rio de Janeiro,0.005345379
ref_meta_taxa_ano,0.0053118127
nome_municipio_Porto Alegre,0.00530862
nome_municipio_Aracaju,0.005077918
sigla_uf_MG,0.004777641
sigla_uf_RN,0.0045399796
sigla_uf_MA,0.004235382
nome_regiao_Sudeste,0.00417754
sigla_uf_SE,0.0040976624
sigla_uf_ES,0.0037597746
sigla_uf_GO,0.0036850767
sigla_uf_MS,0.0036828013
sigla_uf_RO,0.0035385666
