nome_municipio,sigla_uf,nome_regiao,taxa_prevista,meta,total_alunos,taxa_prevista_pct,gap_meta,em_risco
São Gonçalo do Amarante,RN,Nordeste,0.3123091,56.91,85,31.23091,-25.679090652465817,True
Igrejinha,RS,Sul,0.5462602,80.0,30,54.62602,-25.373981475830078,True
Lajeado,RS,Sul,0.5227866,75.49,77,52.278664,-23.21133636474609,True
Farroupilha,RS,Sul,0.5782642,80.0,84,57.826416,-22.173583984375,True
São Borja,RS,Sul,0.45705405,67.78,42,45.705406,-22.074593811035157,True
Canela,RS,Sul,0.5797646,78.86999999999999,58,57.97646,-20.893540496826162,True
Campo Bom,RS,Sul,0.570198,77.73,66,57.0198,-20.71020172119141,True
Nova Viçosa,BA,Nordeste,0.39703,60.29,51,39.703,-20.587000885009765,True
Santa Cecília,SC,Sul,0.4812722,68.59,34,48.12722,-20.46277984619141,True
São Lourenço do Sul,RS,Sul,0.59026825,79.22,32,59.026825,-20.193175048828124,True
Matões,MA,Nordeste,0.536747,73.54,34,53.674698,-19.865302124023444,True
Ijuí,RS,Sul,0.57245725,77.0,66,57.245724,-19.754276275634766,True
Canguçu,RS,Sul,0.60405725,79.74,35,60.405724,-19.33427642822265,True
Bento Gonçalves,RS,Sul,0.58476156,77.77,94,58.476154,-19.293845672607418,True
Brumado,BA,Nordeste,0.38736677,57.7,53,38.73668,-18.963320922851565,True
Estância Velha,RS,Sul,0.5078406,69.31,46,50.784058,-18.525942382812502,True
Venâncio Aires,RS,Sul,0.6027879,78.41,51,60.27879,-18.131210479736325,True
Extremoz,RN,Nordeste,0.35692942,53.23,57,35.692944,-17.53705642700195,True
Santiago,RS,Sul,0.56428343,73.95,43,56.428345,-17.521655273437503,True
Timbaúba,PE,Nordeste,0.57538044,75.02,34,57.538044,-17.481956024169918,True
Itabaianinha,SE,Nordeste,0.45322937,62.52,39,45.322937,-17.197062988281253,True
Dois Irmãos,RS,Sul,0.6173265,78.67999999999999,30,61.73265,-16.947349243164055,True
Osório,RS,Sul,0.53249985,69.76,45,53.249985,-16.510015258789068,True
Santo Antônio da Patrulha,RS,Sul,0.6129971,77.72,30,61.299713,-16.420286865234374,True
Medicilândia,PA,Norte,0.3775421,54.08,32,37.75421,-16.32578857421875,True
