nome_municipio,sigla_uf,nome_regiao,taxa_prevista,meta,total_alunos,taxa_prevista_pct,gap_meta,em_risco
São Félix do Tocantins,TO,Norte,0.4591051,80.0,3,45.91051,-34.0894889831543,True
Severiano Melo,RN,Nordeste,0.4023107,72.95,6,40.23107,-32.718928527832034,True
Dom Pedro de Alcântara,RS,Sul,0.48861632,80.0,1,48.861633,-31.13836669921875,True
Sucupira,TO,Norte,0.49176067,77.95,2,49.176067,-28.77393264770508,True
Junco do Maranhão,MA,Nordeste,0.51414585,80.0,9,51.414585,-28.58541488647461,True
Malhada de Pedras,BA,Nordeste,0.43550885,71.89,12,43.550884,-28.33911575317383,True
São Vicente,RN,Nordeste,0.37789515,65.76,6,37.789516,-27.970483551025396,True
Mariano Moro,RS,Sul,0.5235231,80.0,1,52.35231,-27.647689819335938,True
Mortugaba,BA,Nordeste,0.43352807,70.74,15,43.352806,-27.3871939086914,True
Picada Café,RS,Sul,0.53120494,80.0,2,53.120495,-26.879505157470703,True
Monte do Carmo,TO,Norte,0.4491048,71.56,7,44.910477,-26.64952331542969,True
Itaporã do Tocantins,TO,Norte,0.40114602,66.76,8,40.1146,-26.6453988647461,True
Bacuri,MA,Nordeste,0.4352344,69.66,14,43.52344,-26.13655868530273,True
Tanhaçu,BA,Nordeste,0.36487958,62.260000000000005,13,36.487957,-25.772042999267583,True
São Gonçalo do Amarante,RN,Nordeste,0.3123091,56.91,85,31.23091,-25.679090652465817,True
Santo Antônio,RN,Nordeste,0.43312344,68.69,19,43.312344,-25.37765640258789,True
Igrejinha,RS,Sul,0.5462602,80.0,30,54.62602,-25.373981475830078,True
Carnaúba dos Dantas,RN,Nordeste,0.4254038,67.88,9,42.54038,-25.339621429443355,True
São José das Missões,RS,Sul,0.5430308,78.67,2,54.30308,-24.36691848754883,True
Mundo Novo,MS,Centro-Oeste,0.5592544,80.0,24,55.92544,-24.07455825805664,True
São Marcos,RS,Sul,0.5594379,80.0,20,55.943787,-24.05621337890625,True
Gado Bravo,PB,Nordeste,0.54820496,78.52,7,54.820496,-23.699504394531246,True
Vereda,BA,Nordeste,0.46163708,69.8,4,46.163708,-23.6362922668457,True
Roca Sales,RS,Sul,0.5270206,76.28,8,52.702057,-23.577943115234376,True
Fazenda Vilanova,RS,Sul,0.5654197,80.0,2,56.54197,-23.458030700683594,True
Arroio do Padre,RS,Sul,0.56579447,80.0,3,56.579445,-23.420555114746094,True
Lajeado,RS,Sul,0.5227866,75.49,77,52.278664,-23.21133636474609,True
São Valentim,RS,Sul,0.56932026,80.0,3,56.932026,-23.067974090576172,True
Porto do Mangue,RN,Nordeste,0.38935965,61.94,7,38.935966,-23.00403350830078,True
Lavandeira,TO,Norte,0.47961837,70.95,1,47.961838,-22.988162231445315,True
Logradouro,PB,Nordeste,0.5703049,80.0,3,57.030487,-22.969512939453125,True
Anapurus,MA,Nordeste,0.5720079,80.0,8,57.20079,-22.799209594726562,True
Formoso do Araguaia,TO,Norte,0.43843693,66.36,20,43.843693,-22.516307220458984,True
Arroio do Meio,RS,Sul,0.57549584,80.0,20,57.549583,-22.450416564941406,True
Coronel Bicaco,RS,Sul,0.5691491,79.32,5,56.91491,-22.405090637207024,True
Lajedão,BA,Nordeste,0.3978523,61.97,3,39.78523,-22.184771270751952,True
Farroupilha,RS,Sul,0.5782642,80.0,84,57.826416,-22.173583984375,True
São Sepé,RS,Sul,0.57830894,80.0,15,57.830894,-22.169105529785156,True
Dom Macedo Costa,BA,Nordeste,0.57897174,80.0,6,57.897175,-22.102825164794922,True
São Borja,RS,Sul,0.45705405,67.78,42,45.705406,-22.074593811035157,True
São José da Lagoa Tapada,PB,Nordeste,0.5792721,80.0,10,57.927208,-22.072792053222656,True
Presidente Kennedy,TO,Norte,0.49068573,71.14,1,49.068573,-22.071427001953126,True
Pindaí,BA,Nordeste,0.5048789,72.46,10,50.48789,-21.972111663818353,True
Novo Aripuanã,AM,Norte,0.5825321,80.0,19,58.253212,-21.746788024902344,True
Alegria,RS,Sul,0.5825327,80.0,3,58.25327,-21.74673080444336,True
Pojuca,BA,Nordeste,0.42072406,63.760000000000005,26,42.072407,-21.687593231201177,True
Araricá,RS,Sul,0.548716,76.34,6,54.8716,-21.468398895263675,True
Ipupiara,BA,Nordeste,0.4747301,68.9,12,47.47301,-21.426988983154303,True
Ciríaco,RS,Sul,0.5857773,80.0,5,58.57773,-21.422271728515625,True
Ibiraiaras,RS,Sul,0.57282203,78.69,5,57.282204,-21.40779632568359,True
Santa Quitéria do Maranhão,MA,Nordeste,0.58684087,80.0,17,58.684086,-21.315914154052734,True
Erval Grande,RS,Sul,0.587081,80.0,6,58.708103,-21.29189682006836,True
Giruá,RS,Sul,0.5559884,76.85,10,55.59884,-21.25116119384765,True
Mutuípe,BA,Nordeste,0.40839082,61.96000000000001,15,40.83908,-21.120919189453133,True
Harmonia,RS,Sul,0.588834,80.0,6,58.8834,-21.116600036621094,True
Sapeaçu,BA,Nordeste,0.39609438,60.67999999999999,10,39.60944,-21.070560150146477,True
Alto Feliz,RS,Sul,0.5276978,73.84,4,52.76978,-21.070220794677738,True
Canela,RS,Sul,0.5797646,78.86999999999999,58,57.97646,-20.893540496826162,True
Licínio de Almeida,BA,Nordeste,0.5488512,75.76,12,54.88512,-20.874879608154302,True
Salto do Jacuí,RS,Sul,0.59149426,80.0,7,59.149426,-20.850574493408203,True
Beneditinos,PI,Nordeste,0.571149,77.94,13,57.1149,-20.825101318359373,True
Trindade do Sul,RS,Sul,0.59283644,80.0,5,59.283646,-20.716354370117188,True
Travesseiro,RS,Sul,0.59288794,80.0,2,59.288795,-20.711204528808594,True
Campo Bom,RS,Sul,0.570198,77.73,66,57.0198,-20.71020172119141,True
Belo Monte,AL,Nordeste,0.5939765,80.0,7,59.39765,-20.60234832763672,True
Nova Viçosa,BA,Nordeste,0.39703,60.29,51,39.703,-20.587000885009765,True
Redentora,RS,Sul,0.59461623,80.0,6,59.461624,-20.538375854492188,True
Ibirapuã,BA,Nordeste,0.43229467,63.71,11,43.229465,-20.48053451538086,True
Santa Cecília,SC,Sul,0.4812722,68.59,34,48.12722,-20.46277984619141,True
Igaporã,BA,Nordeste,0.4053063,60.96,14,40.530632,-20.429367980957032,True
Pitimbu,PB,Nordeste,0.5627124,76.57000000000001,17,56.271236,-20.298763580322273,True
Conceição do Almeida,BA,Nordeste,0.3788469,58.18,5,37.884693,-20.295306854248047,True
Urandi,BA,Nordeste,0.42385408,62.67999999999999,13,42.385406,-20.294593505859368,True
Conceição,PB,Nordeste,0.57921207,78.15,20,57.921207,-20.22879257202149,True
São Lourenço do Sul,RS,Sul,0.59026825,79.22,32,59.026825,-20.193175048828124,True
Tanque Novo,BA,Nordeste,0.46015558,66.17,17,46.015556,-20.154443664550783,True
Jacaraci,BA,Nordeste,0.4627914,66.43,12,46.27914,-20.150859527587897,True
Barrolândia,TO,Norte,0.42708412,62.85,7,42.708412,-20.141587829589845,True
Japurá,AM,Norte,0.57580626,77.7,8,57.580627,-20.119372558593753,True
Sapucaia,PA,Norte,0.59796005,79.9,13,59.796005,-20.103994750976568,True
Nova Prata,RS,Sul,0.5887419,78.96,23,58.87419,-20.085808715820306,True
Parnarama,MA,Nordeste,0.5991431,80.0,28,59.91431,-20.085689544677734,True
Pilões,RN,Nordeste,0.47162923,67.21,3,47.16292,-20.047078094482416,True
Encantado,RS,Sul,0.6010314,80.0,19,60.10314,-19.89685821533203,True
Matões,MA,Nordeste,0.536747,73.54,34,53.674698,-19.865302124023444,True
Pilõezinhos,PB,Nordeste,0.60158396,80.0,9,60.158394,-19.84160614013672,True
Solânea,PB,Nordeste,0.5893355,78.77,26,58.93355,-19.836448211669918,True
Ituaçu,BA,Nordeste,0.4144696,61.25,26,41.44696,-19.80303955078125,True
Ibateguara,AL,Nordeste,0.6020312,80.0,6,60.203117,-19.79688262939453,True
Esmeralda,RS,Sul,0.60203344,80.0,3,60.203342,-19.79665756225586,True
Nova Bassano,RS,Sul,0.5843276,78.22,5,58.43276,-19.78724166870117,True
Silveira Martins,RS,Sul,0.49052843,68.83,3,49.052845,-19.777154998779295,True
Ijuí,RS,Sul,0.57245725,77.0,66,57.245724,-19.754276275634766,True
São Vicente do Sul,RS,Sul,0.5798781,77.73,9,57.98781,-19.74219177246094,True
Westfalia,RS,Sul,0.6040796,80.0,2,60.40796,-19.592041015625,True
Ivoti,RS,Sul,0.5820118,77.79,13,58.201183,-19.58881668090821,True
Primeira Cruz,MA,Nordeste,0.5663892,76.22,12,56.63892,-19.581080169677733,True
Lajedo do Tabocal,BA,Nordeste,0.3968267,59.2,8,39.68267,-19.517329406738284,True
Santo Antônio do Palma,RS,Sul,0.54086995,73.44,1,54.086994,-19.35300582885742,True
Canguçu,RS,Sul,0.60405725,79.74,35,60.405724,-19.33427642822265,True
Nova Petrópolis,RS,Sul,0.60704625,80.0,20,60.704624,-19.29537582397461,True
Bento Gonçalves,RS,Sul,0.58476156,77.77,94,58.476154,-19.293845672607418,True
Passo do Sobrado,RS,Sul,0.6081734,80.0,5,60.817337,-19.182662963867188,True
Três de Maio,RS,Sul,0.59999776,79.17,21,59.999775,-19.170225067138674,True
Maetinga,BA,Nordeste,0.44970852,64.12,5,44.97085,-19.149148101806645,True
Nova Palma,RS,Sul,0.60866994,80.0,4,60.866993,-19.133007049560547,True
São José do Piauí,PI,Nordeste,0.60892785,80.0,6,60.892784,-19.107215881347656,True
Serafina Corrêa,RS,Sul,0.6089655,80.0,22,60.896553,-19.10344696044922,True
São Luiz Gonzaga,RS,Sul,0.6100398,80.0,24,61.00398,-18.996021270751953,True
Brumado,BA,Nordeste,0.38736677,57.7,53,38.73668,-18.963320922851565,True
Mataraca,PB,Nordeste,0.61105365,80.0,14,61.105366,-18.894634246826172,True
Pantano Grande,RS,Sul,0.5479666,73.69,13,54.79666,-18.893338623046873,True
Combinado,TO,Norte,0.46174133,65.04,4,46.174133,-18.865866699218756,True
Serrinha,RN,Nordeste,0.41356134,60.14,5,41.356133,-18.783867492675782,True
Itajá,RN,Nordeste,0.4200376,60.78,9,42.00376,-18.776238708496095,True
São Félix do Coribe,BA,Nordeste,0.40273824,59.04999999999999,16,40.273823,-18.776177215576162,True
Cravolândia,BA,Nordeste,0.4238081,61.09,4,42.38081,-18.709190216064457,True
Poço das Antas,RS,Sul,0.6132374,80.0,3,61.32374,-18.67626190185547,True
Pirapemas,MA,Nordeste,0.6137854,80.0,9,61.37854,-18.6214599609375,True
Montanhas,RN,Nordeste,0.43684372,62.21999999999999,12,43.684372,-18.535628051757804,True
Estância Velha,RS,Sul,0.5078406,69.31,46,50.784058,-18.525942382812502,True
Mirante,BA,Nordeste,0.3824482,56.77,7,38.24482,-18.525180358886722,True
Campestre da Serra,RS,Sul,0.61546254,80.0,3,61.546253,-18.453746795654297,True
Três Palmeiras,RS,Sul,0.6158842,80.0,8,61.588417,-18.411582946777344,True
Santana do Seridó,RN,Nordeste,0.38523746,56.91,4,38.523746,-18.38625350952148,True
