feature,shap_medio_absoluto
ref_meta_taxa_ano,0.14879675
sigla_uf_CE,0.11814728
w_peso_aluno,0.105778776
nome_regiao_Nordeste,0.078656696
sigla_uf_BA,0.05657391
qtd_escolas_municipio,0.05375522
sigla_uf_MG,0.036508862
sigla_uf_PR,0.032515056
rede_Estadual,0.0314012
nome_regiao_Norte,0.03126483
qtd_alunos_escola,0.031154666
qtd_alunos_municipio,0.027528552
ano,0.024251526
sigla_uf_GO,0.022803761
sigla_uf_RS,0.021007476
nome_regiao_Sul,0.016271217
sigla_uf_ES,0.016058838
nome_regiao_Sudeste,0.010795293
sigla_uf_MA,0.0086696595
sigla_uf_PE,0.008647982
