sigla_uf,taxa_prevista,total_alunos,taxa_prevista_pct
SE,0.37141752,353,37.141754
BA,0.37298638,2172,37.298637
RN,0.39498836,475,39.498837
TO,0.46974275,344,46.974274
AL,0.47476822,654,47.47682
AP,0.48713136,225,48.713135
PA,0.49629948,1670,49.629948
AC,0.52408195,91,52.408195
AM,0.52673817,942,52.673817
PB,0.53158766,652,53.158768
MS,0.54087317,743,54.08732
RJ,0.5475634,2596,54.756336
PI,0.5522582,671,55.22582
RS,0.55792373,1940,55.792374
MA,0.5683859,1366,56.83859
PE,0.5877596,1563,58.775963
SP,0.58909535,3825,58.909534
MT,0.5929915,912,59.29915
DF,0.60468954,232,60.468952
SC,0.6186126,1547,61.86126
RO,0.6379453,395,63.79453
MG,0.66394407,3632,66.39441
GO,0.69933236,1454,69.933235
ES,0.7019633,895,70.19633
PR,0.7225796,2350,72.25796
CE,0.85135806,1860,85.1358
