nome_municipio,sigla_uf,nome_regiao,taxa_prevista,meta,total_alunos,taxa_prevista_pct,gap_meta,em_risco
São Félix do Tocantins,TO,Norte,0.4591051,80.0,3,45.91051,-34.0894889831543,True
Severiano Melo,RN,Nordeste,0.4023107,72.95,6,40.23107,-32.718928527832034,True
Dom Pedro de Alcântara,RS,Sul,0.48861632,80.0,1,48.861633,-31.13836669921875,True
Sucupira,TO,Norte,0.49176067,77.95,2,49.176067,-28.77393264770508,True
Junco do Maranhão,MA,Nordeste,0.51414585,80.0,9,51.414585,-28.58541488647461,True
Malhada de Pedras,BA,Nordeste,0.43550885,71.89,12,43.550884,-28.33911575317383,True
São Vicente,RN,Nordeste,0.37789515,65.76,6,37.789516,-27.970483551025396,True
Mariano Moro,RS,Sul,0.5235231,80.0,1,52.35231,-27.647689819335938,True
Mortugaba,BA,Nordeste,0.43352807,70.74,15,43.352806,-27.3871939086914,True
Picada Café,RS,Sul,0.53120494,80.0,2,53.120495,-26.879505157470703,True
Monte do Carmo,TO,Norte,0.4491048,71.56,7,44.910477,-26.64952331542969,True
Itaporã do Tocantins,TO,Norte,0.40114602,66.76,8,40.1146,-26.6453988647461,True
Bacuri,MA,Nordeste,0.4352344,69.66,14,43.52344,-26.13655868530273,True
Tanhaçu,BA,Nordeste,0.36487958,62.260000000000005,13,36.487957,-25.772042999267583,True
São Gonçalo do Amarante,RN,Nordeste,0.3123091,56.91,85,31.23091,-25.679090652465817,True
